# https://en.wiktionary.org/wiki/Appendix:Lower_Sorbian_pronunciation
# https://www.dolnoserbski.de/wugronjenje/tema/zuki

# Vowels
i ź[i]nsa
ɨ dł[y]m
u r[u]ka
ɪ zl[ě]
ʊ g[ó]źba
e z[e]mja ə
o buw[o]ł
ɛ m[ó]j æ
ɔ t[o]g[o]dla
a n[a]š

# Glides
j na[j]u

# Plosives
b [b]a[b]a
bʲ [b]ěg
d chu[d]y
dʲ [dj]aboł
g [g]ano
gʲ [g]inuś
k ta[k]
kʲ [kj]armiś
p ry[p]ka
pʲ [p]ětk
t [t]ak
tʲ no[t]icka

# Fricatives
s ro[s]a
z [z]ły
ʂ [š]ejc
ʐ [ž]abka
ɕ [ś]ichy
ʑ [ź]aseś
x mu[ch]a
xʲ spě[ch]owaś
f e[f]ekt
fʲ para[f]ěrowaś
v šefběro[w]
ʃ ma[š]ina

# Approximants
w s[ł]o[w]o
wʲ [w]ěra

# Affricates
t͡s [c]akaś
t͡ʂ [tš]ach
t͡ʃ [č]aj
t͡ɕ nu[tś]
d͡z ł[dz]y
d͡ʐ Azerbaj[dž]an
d͡ʑ roz[dź]ěliś

# Nasals
m [m]a[m]a
mʲ [m]ica
n te[n]
ŋ ba[n]ka
ŋʲ grjebje[ń]k
ɲ dło[ń]

# Liquids
l pi[l]ny
lʲ [l]ěpšy
r [r]ano
rʲ ke[ŕ]
