i абдом[і]нальна   # наголошена і ненанголошена
ı̽ ґрунтово[ї]      # наголошена і ненанголошена

ɪ істер[и]чним     # наголошена
ɪ̞ істерик[и]       # ненанголошена

ɛ іст[е]блішменту  # наголошена а також буква є [є]ва
ɛ̝ істеблішм[е]нту  # ненаголошена
e майбутн[є]       # ненаголошена після мякої

ɑ інф[а]ркт        # наголошена (а)
ɑ̽ інтриг[а]        # ненанголошена (а)
ɑ̈ м[я]со           # нaголошена після мякої
ɐ м[я]соїд         # ненаголошена після мякої 

ɔ г[о]л            # наголошена (о)
ɔ̝ г[о]лова         # ненанголошена (о)
o муск[о]віт       # ненанголошена (оу)

ɔ̈ ль[о]н           # нaголошена після мякої (о)
ɔ̽ ль[о]ханутий     # ненаголошена після мякої (о)
ö ль[о]рі́ са       # ненаголошена після мякої (оу)

u м[у]раха         # наголошена і ненанголошена після твердої 
ʊ л[ю]би           # нaголошена i ненаголошена після мякої 

b [б]лин
bʲ се[б]е
d во[д]у
dʲ буд[ь]
e ваш[е]
eː ве[д]ь
f [ф]ото
fʲ ко[ф]е
ɡ [г]лаз
ɡʲ дру[г]ие
x все[х]
xʲ взма[х]е
i ваш[и]
iː в[и]жу
j все[й]
k [к]атя
kʲ [к]ино
l бы[л]а
lʲ г[л]еб
m идё[м]
mʲ [м]еня
n же[н]а
nʲ де[нь]
o дел[о]
oː дв[о]е
p [п]апа
pʲ [п]ить
r ве[р]а
rʲ в[р]яд
s е[с]ли
ɕː жен[щ]ин
ʂ ва[ш]а
sʲ вес[ь]
t идё[т]
tʲ бы[ть]
t͡s ли[ц]о
t͡ɕ вра[ч]
u ваш[у]
uː буд[у]
v [в]зял
vʲ [в]ещи
ɨ сил[ы]
ɨː в[ы]ше
z вни[з]
ʐ да[ж]е
zʲ в[з]яла
